# x psi_r psi_i psi2 
-7.915363e+00  4.306818e-05 -4.302304e-04 1.869531e-07
-7.915037e+00  6.129051e-04 -1.525758e-03 2.703591e-06
-7.914712e+00 -1.081355e-03  3.015536e-03 1.026279e-05
-7.914386e+00  1.218982e-03 -3.583879e-03 1.433011e-05
-7.914061e+00 -9.836947e-04  3.057120e-03 1.031364e-05
-7.913735e+00  4.474861e-04 -1.596213e-03 2.748140e-06
-7.913410e+00  2.255971e-04 -3.524428e-04 1.751100e-07
-7.913084e+00 -8.296416e-04  2.193411e-03 5.499356e-06
-7.912759e+00  1.179862e-03 -3.364157e-03 1.270963e-05
-7.912433e+00 -1.169128e-03  3.506942e-03 1.366550e-05
-7.912108e+00  8.007368e-04 -2.578133e-03 7.287947e-06
-7.911782e+00 -1.873986e-04  8.615355e-04 7.773617e-07
-7.911457e+00 -4.832466e-04  1.118321e-03 1.484169e-06
-7.911131e+00  1.006034e-03 -2.756466e-03 8.610208e-06
-7.910805e+00 -1.221039e-03  3.552339e-03 1.411005e-05
-7.910480e+00  1.062498e-03 -3.262748e-03 1.177443e-05
-7.910154e+00 -5.789242e-04  1.976178e-03 4.240433e-06
-7.909829e+00 -8.173646e-05 -8.575497e-05 1.403476e-08
-7.909503e+00  7.173698e-04 -1.830878e-03 3.866735e-06
-7.909178e+00 -1.133525e-03  3.188068e-03 1.144865e-05
-7.908852e+00  1.202899e-03 -3.571103e-03 1.419975e-05
-7.908527e+00 -9.042814e-04  2.862940e-03 9.014149e-06
-7.908201e+00  3.290372e-04 -1.279962e-03 1.746569e-06
-7.907876e+00  3.468466e-04 -6.941312e-04 6.021208e-07
-7.907550e+00 -9.166011e-04  2.456130e-03 6.872735e-06
-7.907225e+00  1.205931e-03 -3.467631e-03 1.347874e-05
-7.906899e+00 -1.126335e-03  3.419552e-03 1.296197e-05
-7.906574e+00  7.021733e-04 -2.326581e-03 5.906028e-06
-7.906248e+00 -6.321747e-05  5.226866e-04 2.771977e-07
-7.905923e+00 -5.950572e-04  1.440929e-03 2.430370e-06
-7.905597e+00  1.071271e-03 -2.964257e-03 9.934439e-06
-7.905272e+00 -1.219748e-03  3.581820e-03 1.431722e-05
-7.904946e+00  9.950756e-04 -3.104910e-03 1.063064e-05
-7.904620e+00 -4.659973e-04  1.679250e-03 3.037033e-06
-7.904295e+00 -2.056221e-04  2.595348e-04 1.096387e-07
-7.903969e+00  8.143169e-04 -2.119022e-03 5.153368e-06
-7.903644e+00 -1.173878e-03  3.331021e-03 1.247369e-05
-7.903318e+00  1.174315e-03 -3.525184e-03 1.380594e-05
-7.902993e+00 -8.155071e-04  2.642178e-03 7.646157e-06
-7.902667e+00  2.072301e-04 -9.518143e-04 9.488948e-07
-7.902342e+00  4.644243e-04 -1.029397e-03 1.275348e-06
-7.902016e+00 -9.939822e-04  2.696070e-03 8.256793e-06
-7.901691e+00  1.219446e-03 -3.538928e-03 1.401106e-05
-7.901365e+00 -1.071850e-03  3.300420e-03 1.204164e-05
-7.901040e+00  5.963588e-04 -2.053422e-03 4.572186e-06
-7.900714e+00  6.155667e-05  1.789662e-04 3.581811e-08
-7.900389e+00 -7.006217e-04  1.750184e-03 3.554013e-06
-7.900063e+00  1.125334e-03 -3.144549e-03 1.115456e-05
-7.899738e+00 -1.205773e-03  3.578059e-03 1.425639e-05
-7.899412e+00  9.173389e-04 -2.918245e-03 9.357664e-06
-7.899086e+00 -3.482810e-04  1.366717e-03 1.989215e-06
-7.898761e+00 -3.273072e-04  6.024377e-04 4.700612e-07
-7.898435e+00  9.027467e-04 -2.387518e-03 6.515195e-06
-7.898110e+00 -1.202002e-03  3.443067e-03 1.329952e-05
-7.897784e+00  1.133533e-03 -3.446544e-03 1.316356e-05
-7.897459e+00 -7.182946e-04  2.396880e-03 6.260980e-06
-7.897133e+00  8.332699e-05 -6.148106e-04 3.849355e-07
-7.896808e+00  5.771150e-04 -1.355131e-03 2.169443e-06
-7.896482e+00 -1.060988e-03  2.911003e-03 9.599636e-06
-7.896157e+00  1.220271e-03 -3.577385e-03 1.428674e-05
-7.895831e+00 -1.006244e-03  3.150649e-03 1.093912e-05
-7.895506e+00  4.843916e-04 -1.761186e-03 3.336411e-06
-7.895180e+00  1.856322e-04 -1.664394e-04 6.216141e-08
-7.894855e+00 -7.988502e-04  2.043217e-03 4.812895e-06
-7.894529e+00  1.167668e-03 -3.295669e-03 1.222489e-05
-7.894204e+00 -1.179263e-03  3.541090e-03 1.392998e-05
-7.893878e+00  8.300966e-04 -2.704482e-03 8.003285e-06
-7.893553e+00 -2.269955e-04  1.041477e-03 1.136201e-06
-7.893227e+00 -4.455333e-04  9.397749e-04 1.081677e-06
-7.892901e+00  9.817478e-04 -2.633876e-03 7.901130e-06
-7.892576e+00 -1.217612e-03  3.523168e-03 1.389529e-05
-7.892250e+00  1.080978e-03 -3.335910e-03 1.229681e-05
-7.891925e+00 -6.136537e-04  2.129317e-03 4.910563e-06
-7.891599e+00 -4.138908e-05 -2.720749e-04 7.573780e-08
-7.891274e+00  6.837546e-04 -1.668314e-03 3.250792e-06
-7.890948e+00 -1.116930e-03  3.098937e-03 1.085094e-05
-7.890623e+00  1.208404e-03 -3.582643e-03 1.429557e-05
-7.890297e+00 -9.301989e-04  2.971625e-03 9.695823e-06
-7.889972e+00  3.674331e-04 -1.452581e-03 2.244998e-06
-7.889646e+00  3.077255e-04 -5.103282e-04 3.551298e-07
